Producer,Brand,material, Country/Region,Matching Company 90%,Matching Parent Company Cleaned 50%,Matching Company_brand 90%,Matching Parent Company_Brand Cleaned 50%
Nordural - Grundartangi ehf.,NA NA,High Grade Primary Aluminium,Iceland,,,,
Bharat Aluminium Co. Ltd.,BHARATAL,High Grade Primary Aluminium,India,,,,
Hindalco Industries Limited,HINDALCO AD,High Grade Primary Aluminium,India,,,,
Hindalco Industries Limited,HINDALCO HK,High Grade Primary Aluminium,India,,,,HK
Hindalco Industries Limited,HINDALCO MH,High Grade Primary Aluminium,India,,,,
Hindalco Industries Limited,HINDALCO,High Grade Primary Aluminium,India,,,,
National Aluminium Co Ltd,NALCO,High Grade Primary Aluminium,India,,National Aluminium Company,,
Vedanta Limited,VEDANTA,High Grade Primary Aluminium,India,,Vedanta Resources,,Vedanta Resources
Vedanta Limited,VEDANTAL,High Grade Primary Aluminium,India,,Vedanta Resources,,
PT Indonesia Asahan Aluminium (Persero),INAL,High Grade Primary Aluminium,Indonesia,,,,
Iranian Aluminium Co,IRALCO,High Grade Primary Aluminium,Iran,,,,
"""Kazakhstan Aluminium Smelter"" JSC",KAS,High Grade Primary Aluminium,Kazakhstan,,,,
Press Metal Bintulu Sdn Bhd,PMB,High Grade Primary Aluminium,Malaysia,,,,
Press Metal Sarawak Sdn. Bhd.,PMS,High Grade Primary Aluminium,Malaysia,,,,
Kombinat Aluminijuma Podgorica,KAP,High Grade Primary Aluminium,Montenegro,,,,
Mozal S.A.R.L,MOZAL,High Grade Primary Aluminium,Mozambique,,,,
DAMCO Aluminium Delfzijl Coöperatie U.A.,DELFZIJL,High Grade Primary Aluminium,Netherlands,,,,
New Zealand Aluminium Smelters Ltd,NZAS,High Grade Primary Aluminium,New Zealand,,,,
Alcoa Norway ANS,EAM,High Grade Primary Aluminium,Norway,,,,
Hydro Aluminium AS (Ardal),HYDRO A,High Grade Primary Aluminium,Norway,,Hydro,,Hydro
Hydro Aluminium AS (Hoyanger),HYDRO H,High Grade Primary Aluminium,Norway,,Hydro,,Hydro
Hydro Aluminium AS (Karmoy),HYDRO K,High Grade Primary Aluminium,Norway,,Hydro,,Hydro
Hydro Aluminium AS (Sunndalsora),HYDRO S,High Grade Primary Aluminium,Norway,,Hydro,,Hydro
Hydro Aluminium AS,SOERAL,High Grade Primary Aluminium,Norway,,Hydro,,
Sohar Aluminium Company LLC,SOHAR,High Grade Primary Aluminium,Oman,,,,
Qatar Aluminium Limited (Q.S.C.),QATALUM,High Grade Primary Aluminium,Qatar,,Qatar,,
S.C. Alro S.A.,ALRO,High Grade Primary Aluminium,Romania,,,,
JSC Boguchany Aluminium Smelter,BOAZ,High Grade Primary Aluminium,Russia,,,,
United Company RUSAL Kandalaksha Aluminium Smelter,KAZ SUAL,High Grade Primary Aluminium,Russia,,,,SUAL
Nadvoitsky Aluminium Plant of Siberian-Urals Aluminium Smelter,NAZ SUAL,High Grade Primary Aluminium,Russia,,,,SUAL
"Public Joint Stock Company ""RUSAL Bratsk Aluminium Smelter""",RUSAL B,High Grade Primary Aluminium,Russia,,,RUSAL,RUSAL
Affiliate of PJSC “RUSAL Bratsk” in Shelekhov,RUSAL I,High Grade Primary Aluminium,Russia,,,RUSAL,RUSAL
"Joint Stock Company ""RUSAL Krasnoyarsk Aluminium Smelter""",RUSAL K,High Grade Primary Aluminium,Russia,,,RUSAL,RUSAL
"Joint Stock Company ""RUSAL Sayanogorsk Aluminium Smelter""",RUSAL KH,High Grade Primary Aluminium,Russia,,,,RUSAL
"Joint Stock Company ""RUSAL Novokuznetsk Aluminium Smelter""",RUSAL N,High Grade Primary Aluminium,Russia,,,RUSAL,RUSAL
"Joint Stock Company ""RUSAL Sayanogorsk Aluminium Smelter""",RUSAL S,High Grade Primary Aluminium,Russia,,,RUSAL,RUSAL
United Company RUSAL Volgograd Aluminium Smelter,RUSAL VG,High Grade Primary Aluminium,Russia,,,,RUSAL
Ma'aden Aluminium Company,YALMA,High Grade Primary Aluminium,Saudi Arabia,,,,
Slovalco a.s.,SLOVALCO,High Grade Primary Aluminium,Slovakia,,,,
Hillside Aluminium,HILLSIDE,High Grade Primary Aluminium,South Africa,,,,
Alcoa Inespal Aviles S.L.,ALCOA INESPAL AV,High Grade Primary Aluminium,Spain,,,,
Alcoa Corporation,ALCOA-SC,High Grade Primary Aluminium,Spain,,,,
EGA Emirates Global Aluminium,DUBAL,High Grade Primary Aluminium,UAE,,,,
EGA Emirates Global Aluminium,EMAL,High Grade Primary Aluminium,UAE,,,,
Alvance British Aluminium Ltd.,LIBERTY BA,High Grade Primary Aluminium,UK,,,,Liberty Media
Alcoa Corporation,ALCOA,High Grade Primary Aluminium,USA,,,Alcoa,
"Century Aluminum of Kentucky, G.P.",CENTURY,High Grade Primary Aluminium,USA,,,,21st Century Fox
Alcoa Corporation,INTALCO,High Grade Primary Aluminium,USA,,,,
"Alcoa, Inc.",ME ALCOA,High Grade Primary Aluminium,USA,,,,ME Sportwaffen
Century Aluminum of South Carolina Inc.,MT HOLLY,High Grade Primary Aluminium,USA,,,,
Century Aluminum Sebree LLC,SEB,High Grade Primary Aluminium,USA,,,SEB,
Alcoa Corporation,WAR ALCOA,High Grade Primary Aluminium,USA,,,,
"Alcoa, Inc.",WE ALCOA,High Grade Primary Aluminium,USA,,,,
CVG Industria Venezolana de Aluminio CA,VENALUM,High Grade Primary Aluminium,Venezuela,,,,CVG VENALUM
Alcoa Portland Aluminium Pty Ltd,PORTLAND,Aluminium Alloy,Australia,,,,
Tomago Aluminium Co Pty Ltd,TOMAGO,Aluminium Alloy,Australia,,,,
Real Alloy Canada Ltd.,WABASH M,Aluminium Alloy,Canada,,,,
Ye Chiu Metal Recycling (China) Ltd.,YECHIU TC,Aluminium Alloy,China,,,,TC Energy
Zhangzhou Sigma Metals Inc.,ZSM,Aluminium Alloy,China,,,,
Kuusakoski Oy,K,Aluminium Alloy,Finland,,,,
Refinal Industries SA,REFINAL,Aluminium Alloy,France,,,,
TRIMET Aluminium SE,MW,Aluminium Alloy,Germany,,,,
Oetinger Aluminium NU GmbH,OE,Aluminium Alloy,Germany,,,,
TRIMET Aluminium SE,TAG,Aluminium Alloy,Germany,,,,
Real Alloy (Germany) GbmH,VAWICC,Aluminium Alloy,Germany,,,,
Real Alloy (Germany) GbmH,VAW-IMCO E,Aluminium Alloy,Germany,,,,
Real Alloy (Germany) GbmH,VAW-IMCO Innwerk,Aluminium Alloy,Germany,,,,
P.T. H.P. Metals Indonesia,HP,Aluminium Alloy,Indonesia,,Indonesia Power,,HP
FECS Partecipazioni S.p.A.,FECS,Aluminium Alloy,Italy,,,,
Raffmetal S.p.A.,R.M.,Aluminium Alloy,Italy,,,,
Sacal Societa Alluminio Carisio S.p.A.,SACAL,Aluminium Alloy,Italy,,,,
Intals S.p.A.,VM,Aluminium Alloy,Italy,,,,
Ahresty Corporation,AHRESTY,Aluminium Alloy,Japan,,,,
Daiki Aluminium Industry (Malaysia) Sdn. Bhd.,DIKM,Aluminium Alloy,Malaysia,,,,
Ye Chiu Metal Smelting Sdn. Bhd.,YE CHIU,Aluminium Alloy,Malaysia,,,,
Real Alloy Mexico S. DE R.L. DE C.V.,WABASH V,Aluminium Alloy,Mexico,,,,
Sun Metal Industries Ltd,SUPER,Aluminium Alloy,Nigeria,,,,
Russian Aluminium Alloys Ltd.,BMC,Aluminium Alloy,Russia,,,,BMC
"""Mordovvtorsiryo"" LLC",MK MBC,Aluminium Alloy,Russia,,,,
Permtsvetmet JSC,PTM,Aluminium Alloy,Russia,,,,
"Public Joint Stock Company ""RUSAL Bratsk Aluminium Smelter""",RUSAL B,Aluminium Alloy,Russia,,,RUSAL,RUSAL
"SEAL & Co., Ltd",S,Aluminium Alloy,Russia,,,,
"Befesa Aluminio, S.L.",ALCASA,Aluminium Alloy,Spain,,,,
Alusigma S.A.,ALUSIGMA,Aluminium Alloy,Spain,,,,
"Aluminio La Estrella, S.L.U.",LA ESTRELLA,Aluminium Alloy,Spain,,,,
Refineria De Aluminio S.L,REFIAL,Aluminium Alloy,Spain,,,,
"Befesa Aluminio, S.L.",REMETAL,Aluminium Alloy,Spain,,,,
Stena Aluminium AB,STENA A,Aluminium Alloy,Sweden,,,,
"Charng Chyi Aluminum Co., Ltd.",CC,Aluminium Alloy,Taiwan,,,,
Sigma Brothers Inc.,SBI,Aluminium Alloy,Taiwan,,,,
"Daiki Aluminium Industry (Thailand) Co., Ltd.",DIK,Aluminium Alloy,Thailand,,,,
Mekhanicheskiy Zavod Ltd,MZ,Aluminium Alloy,Ukraine,,,,
"""TPK Ukrsplav "" Ltd",URV,Aluminium Alloy,Ukraine,,,,
Coleshill Aluminium Ltd,CAL,Aluminium Alloy,UK,,,,
JBM International Ltd,JBMI,Aluminium Alloy,UK,,International,,
Mil-Ver Metal Co Ltd,M,Aluminium Alloy,UK,,,,
Allied Metal Co,ALLIED METAL CO,Aluminium Alloy,USA,,,,
Audubon Metals LLC,AUDUBON,Aluminium Alloy,USA,,,,
Bermco Aluminum,BERMCO,Aluminium Alloy,USA,,,,
"Cass, Inc.",CASS,Aluminium Alloy,USA,,,,
"Real Alloy Specification, LLC",IMCO M,Aluminium Alloy,USA,,,,
"Real Alloy Specification, LLC",IMCO M2,Aluminium Alloy,USA,,,,
"Custom Alloy Light Metals, Inc.",LMI,Aluminium Alloy,USA,,,,
Owl's Head Alloys Inc,OHA,Aluminium Alloy,USA,,,,
Spectro Alloys Corp.,SAC,Aluminium Alloy,USA,,,,SAC
State Metal Industries Inc.,SMI,Aluminium Alloy,USA,,,,SMI
TST Inc.,TIMCO,Aluminium Alloy,USA,"TST, Inc.",,,
"Real Alloy Specification, LLC",WABASH W,Aluminium Alloy,USA,,,,
"Alcoa, Inc.",WE ALCOA,Aluminium Alloy,USA,,,,
Alcoa Corporation,ABCQ,NASAAC,Canada,,,,
Aluminerie de Becancour Inc.,ABI,NASAAC,Canada,,,,
Alcoa Corporation,DESCHAMBAULT,NASAAC,Canada,,,,
Real Alloy Canada Ltd.,WABASH M,NASAAC,Canada,,,,
Ye Chiu Metal Recycling (China) Ltd.,YECHIU TC,NASAAC,China,,,,TC Energy
Kuusakoski Oy,K,NASAAC,Finland,,,,
TRIMET Aluminium SE,MW,NASAAC,Germany,,,,
Oetinger Aluminium NU GmbH,OE,NASAAC,Germany,,,,
Real Alloy (Germany) GbmH,VAWICCN,NASAAC,Germany,,,,
Real Alloy (Germany) GbmH,VAW-IMCO E,NASAAC,Germany,,,,
Real Alloy (Germany) GbmH,VAW-IMCO Innwerk,NASAAC,Germany,,,,
P.T. H.P. Metals Indonesia,HP,NASAAC,Indonesia,,Indonesia Power,,HP
FECS Partecipazioni S.p.A.,FECS,NASAAC,Italy,,,,
Raffmetal S.p.A.,R.M.,NASAAC,Italy,,,,
Sacal Societa Alluminio Carisio S.p.A.,SACAL,NASAAC,Italy,,,,
Intals S.p.A.,VM,NASAAC,Italy,,,,
Daiki Aluminium Industry (Malaysia) Sdn. Bhd.,DIKM,NASAAC,Malaysia,,,,
Ye Chiu Metal Smelting Sdn. Bhd.,YE CHIU,NASAAC,Malaysia,,,,
Real Alloy Mexico S. DE R.L. DE C.V.,WABASH V,NASAAC,Mexico,,,,
Sun Metal Industries Ltd,SUPER,NASAAC,Nigeria,,,,
"""Mordovvtorsiryo"" LLC",MK MBC,NASAAC,Russia,,,,
Permtsvetmet JSC,PTM,NASAAC,Russia,,,,
"Public Joint Stock Company ""RUSAL Bratsk Aluminium Smelter""",RUSAL B,NASAAC,Russia,,,RUSAL,RUSAL
"SEAL & Co., Ltd",S,NASAAC,Russia,,,,
"Befesa Aluminio, S.L.",ALCASA,NASAAC,Spain,,,,
Alusigma S.A.,ALUSIGMA,NASAAC,Spain,,,,
"Aluminio La Estrella, S.L.U.",LA ESTRELLA,NASAAC,Spain,,,,
Refineria De Aluminio S.L,REFIAL,NASAAC,Spain,,,,
"Befesa Aluminio, S.L.",REMETAL,NASAAC,Spain,,,,
Stena Aluminium AB,STENA A,NASAAC,Sweden,,,,
"Charng Chyi Aluminum Co., Ltd.",CC,NASAAC,Taiwan,,,,
Sigma Brothers Inc.,SBI,NASAAC,Taiwan,,,,
Aleris Recycling (Swansea) Ltd.,ALERIS SWA,NASAAC,UK,,,,
Coleshill Aluminium Ltd,CAL,NASAAC,UK,,,,
JBM International Ltd,JBMI,NASAAC,UK,,International,,
Mil-Ver Metal Co Ltd,M,NASAAC,UK,,,,
Imperial Aluminum LLC,A-1,NASAAC,USA,,,,
Allied Metal Co ,ALLIED METAL CO,NASAAC,USA,,,,
Audubon Metals LLC,AUDUBON,NASAAC,USA,,,,
Bermco Aluminum,BERMCO,NASAAC,USA,,,,
"Cass, Inc.",CASS,NASAAC,USA,,,,
Huron Valley Steel Corporation,HV,NASAAC,USA,,,,
"Real Alloy Specification, LLC",IMCO M,NASAAC,USA,,,,
"Real Alloy Specification, LLC",IMCO M2,NASAAC,USA,,,,
Alcoa Corporation,INTALCO,NASAAC,USA,,,,
"Custom Alloy Light Metals, Inc.",LMI,NASAAC,USA,,,,
Owl's Head Alloys Inc,OHA,NASAAC,USA,,,,
Spectro Alloys Corp.,SAC,NASAAC,USA,,,,SAC
State Metal Industries Inc.,SMI,NASAAC,USA,,,,SMI
Superior Aluminum Alloys LLC,SUPERIOR,NASAAC,USA,,,,
TST Inc.,TIMCO,NASAAC,USA,"TST, Inc.",,,
"Real Alloy Specification, LLC",WABASH W,NASAAC,USA,,,,
"Alcoa, Inc.",WE ALCOA,NASAAC,USA,,,,
Minara Resources Pty Ltd,MINARA COBALT BRIQUETTES,Cobalt,Australia,,PTY,,
Votorantim Metais S.A.,TOCANTINS ALLOY GRADE 99.8%,Cobalt,Brazil,,Votorantim,,
Vale Canada Limited,VALE ELECTROLYTIC COBALT ROUNDS,Cobalt,Canada,,Vale,,
"Yantai Cash Industrial Co., Ltd.",CASH,Cobalt,China,,,,Chipper Cash
"Jinchuan Group Co., Ltd.",GOLDEN CAMEL 9995,Cobalt,China,,Jinchuan International,,
"Quzhou Huayou Cobalt New Material Co., Ltd",HUAYOU,Cobalt,China,,,,
GEM (Jiangsu) Cobalt Industry Co Ltd,KLK 9995,Cobalt,China,,,,
Freeport Cobalt Oy,FC COARSE COBALT POWDER S1 d200/1000,Cobalt,Finland,,,,
Umicore Finland Oy,UMICORE COBALT POWDER S1,Cobalt,Finland ,,,,
"Sumitomo Metal Mining Co., Ltd.",SMM CO 99.8%,Cobalt,Japan,,"joint venture between Vale, Sumitomo Metal Mining and Mining Industry Indonesia",,
"Dynatec Madagascar S.A. a ""société anonyme""",AMBATOVY COBALT BRIQUETTES,Cobalt,Madagascar,,,,
CTT - Compagnie de Tifnout Tiranimine,CMBA,Cobalt,Morocco,,,,
"JSC ""Kola GMK""",NORNICKEL,Cobalt,Russia,,,,
Kasese Cobalt Company Limited,KCCL,Cobalt,Uganda,,,,
Chambishi Metals Plc,CMA,Cobalt,Zambia,Chambishi Metals,,,
Chambishi Metals Plc,CMP,Cobalt,Zambia,Chambishi Metals,,,
