Producer,Brand,material, Country/Region,Matching Company 90%,Matching Parent Company Cleaned 50%,Matching Company_brand 90%,Matching Parent Company_Brand Cleaned 50%,Match,Location,Category,Website
"JSC ""Kola GMK""",NORNICKEL,Primary Nickel,Russia,,,,,0,,,
"JSC ""Kola GMK""",SEVERONICKEL COMBINE H-1,Primary Nickel,Russia,,,,,0,,,
"JSC ""Kola GMK""",SEVERONICKEL COMBINE H-1Y,Primary Nickel,Russia,,,,,0,,,
Impala Platinum Ltd,IMPALA NICKEL,Primary Nickel,South Africa,,,,,0,,,
Rustenburg Platinum Mines Limited,RPM NICKEL,Primary Nickel,South Africa,,,,,0,,,
Vale Canada Limited produced by Vale Europe Limited,VALE NICKEL PELLETS,Primary Nickel,UK,,Vale,,Vale,1,Brazil,"Energy, Oil, gas & coal, Metals & steel, Mining",http://www.vale.com/EN/Pages/default.aspx
RioZim Limited,BCL EMPRESS,Primary Nickel,Zimbabwe,,,,,0,,,
Aluar Aluminio Argentino SAIC,ALUAR,High Grade Primary Aluminium,Argentina,Aluminio Argentino SAIC (Aluar),Aluar,,Aluar,1,Argentina,"Metals/plastics/basic materials: General, Welding",https://www.aluar.com.ar/
Rio Tinto Aluminium (Bell Bay) Limited,BBY,High Grade Primary Aluminium,Australia,,Rio Tinto,,,1,United Kingdom,Mining,https://www.riotinto.com/
Boyne Smelters Ltd,BSL,High Grade Primary Aluminium,Australia,,,,,0,,,
Alcoa Portland Aluminium Pty Ltd,PORTLAND,High Grade Primary Aluminium,Australia,,,,,0,,,
Tomago Aluminium Co Pty Ltd,TOMAGO,High Grade Primary Aluminium,Australia,,,,,0,,,
Aluminium Bahrain BSC (c),ALBA,High Grade Primary Aluminium,Bahrain,,Aluminium Bahrain,,,1,,,
Albras Aluminio Brasileiro SA,ALBRAS,High Grade Primary Aluminium,Brazil ,,,,,0,,,
Alcoa Aluminio SA,ALCOA BRASIL,High Grade Primary Aluminium,Brazil ,,,,,0,,,
Companhia Brasileira de Aluminio,CBA,High Grade Primary Aluminium,Brazil ,,Companhia Brasileira de Aluminio,,,1,,,
Alcoa Aluminio SA,SAO LUIS,High Grade Primary Aluminium,Brazil ,,,,,0,,,
BHP Billiton Metais SA,SAO LUIS,High Grade Primary Aluminium,Brazil ,,,,,0,,,
Alucam,ALUCAM,High Grade Primary Aluminium,Cameroon,,,,,0,,,
Rio Tinto Alcan Inc.,AAR,High Grade Primary Aluminium,Canada,,now Rio Tinto Alcan,,,1,,,
Alcoa Corporation,ABCQ,High Grade Primary Aluminium,Canada,,,,,0,,,
Aluminerie de Becancour Inc.,ABI,High Grade Primary Aluminium,Canada,,,,,0,,,
Rio Tinto Alcan Inc.,ALMA,High Grade Primary Aluminium,Canada,,now Rio Tinto Alcan,,,1,,,
Aluminerie Alouette Inc.,ALOUETTE,High Grade Primary Aluminium,Canada,,,,,0,,,
Alcoa Corporation,DESCHAMBAULT,High Grade Primary Aluminium,Canada,,,,,0,,,
Rio Tinto Alcan Inc.,GBAIE,High Grade Primary Aluminium,Canada,,now Rio Tinto Alcan,,,1,,,
Rio Tinto Alcan Inc.,KIT,High Grade Primary Aluminium,Canada,,now Rio Tinto Alcan,,,1,,,
Rio Tinto Alcan Inc.,LAT,High Grade Primary Aluminium,Canada,,now Rio Tinto Alcan,,,1,,,
Rio Tinto Alcan Inc.,PLS,High Grade Primary Aluminium,Canada,,now Rio Tinto Alcan,,,1,,,
"Sichuan Guangyuan Aostar Aluminium Co., Ltd.",AST,High Grade Primary Aluminium,China,,,,,0,,,
Baotou Aluminium (Group) Co. Ltd,BTL,High Grade Primary Aluminium,China,,,,,0,,,
"Aluminium Corporation of China Ltd, CHALCO",G*L,High Grade Primary Aluminium,China,,Aluminum Corporation of China,,,1,,,
"Aluminium Corporation of China Ltd, CHALCO",LL2,High Grade Primary Aluminium,China,,Aluminum Corporation of China,,,1,,,
"Lanzhou Liancheng Aluminium Industrial Co., Ltd",LLL,High Grade Primary Aluminium,China,,,,,0,,,
"Aluminium Corporation of China Ltd, CHALCO",QHAS,High Grade Primary Aluminium,China,,Aluminum Corporation of China,,,1,,,
Qingtongxia Aluminium Holding Co Ltd,QTX ND,High Grade Primary Aluminium,China,,,,,0,,,
Qingtongxia Aluminium Holding Co Ltd,QTX,High Grade Primary Aluminium,China,,,,,0,,,
"Henan Shenhuo Coal & Power Co., Ltd",RG,High Grade Primary Aluminium,China,,,,,0,,,
Jiaozuo Wanfang Aluminium Manufacturing Co. Ltd,WF,High Grade Primary Aluminium,China,,,,,0,,,
Yunnan Aluminium Co. Ltd,YL YL,High Grade Primary Aluminium,China,,,,,0,,,
The Aluminium Company of Egypt,EGYPTALUM,High Grade Primary Aluminium,Egypt,,,,,0,,,
Aluminium Dunkerque,AD,High Grade Primary Aluminium,France,,,,,0,,,
Trimet France,TASJ,High Grade Primary Aluminium,France,,,,,0,,,
TRIMET Aluminium SE,TAE,High Grade Primary Aluminium,Germany,,,,,0,,,
TRIMET Aluminium SE,TAHH,High Grade Primary Aluminium,Germany,,,,,0,,,
Mytilineos S.A.,AoG,High Grade Primary Aluminium,Greece,Mytilineos,,,,1,,,http://web.mytilineos.gr
Alcoa Corporation,AFJA,High Grade Primary Aluminium,Iceland,,,,,0,,,
Alcan Iceland Ltd.,ISAL,High Grade Primary Aluminium,Iceland,,,,,0,,,
Nordural - Grundartangi ehf.,NA NA,High Grade Primary Aluminium,Iceland,,,,,0,,,
Bharat Aluminium Co. Ltd.,BHARATAL,High Grade Primary Aluminium,India,,,,,0,,,
Hindalco Industries Limited,HINDALCO AD,High Grade Primary Aluminium,India,,,,,0,,,
Hindalco Industries Limited,HINDALCO HK,High Grade Primary Aluminium,India,,,,HK,1,,,
Hindalco Industries Limited,HINDALCO MH,High Grade Primary Aluminium,India,,,,,0,,,
Hindalco Industries Limited,HINDALCO,High Grade Primary Aluminium,India,,,,,0,,,
National Aluminium Co Ltd,NALCO,High Grade Primary Aluminium,India,,National Aluminium Company,,,1,,,
Vedanta Limited,VEDANTA,High Grade Primary Aluminium,India,,Vedanta Resources,,Vedanta Resources,1,,,
Vedanta Limited,VEDANTAL,High Grade Primary Aluminium,India,,Vedanta Resources,,,1,,,
PT Indonesia Asahan Aluminium (Persero),INAL,High Grade Primary Aluminium,Indonesia,,,,,0,,,
Iranian Aluminium Co,IRALCO,High Grade Primary Aluminium,Iran,,,,,0,,,
"""Kazakhstan Aluminium Smelter"" JSC",KAS,High Grade Primary Aluminium,Kazakhstan,,,,,0,,,
Press Metal Bintulu Sdn Bhd,PMB,High Grade Primary Aluminium,Malaysia,,,,,0,,,
Press Metal Sarawak Sdn. Bhd.,PMS,High Grade Primary Aluminium,Malaysia,,,,,0,,,
Kombinat Aluminijuma Podgorica,KAP,High Grade Primary Aluminium,Montenegro,,,,,0,,,
Mozal S.A.R.L,MOZAL,High Grade Primary Aluminium,Mozambique,,,,,0,,,
DAMCO Aluminium Delfzijl Coöperatie U.A.,DELFZIJL,High Grade Primary Aluminium,Netherlands,,,,,0,,,
New Zealand Aluminium Smelters Ltd,NZAS,High Grade Primary Aluminium,New Zealand,,,,,0,,,
Alcoa Norway ANS,EAM,High Grade Primary Aluminium,Norway,,,,,0,,,
Hydro Aluminium AS (Ardal),HYDRO A,High Grade Primary Aluminium,Norway,,Hydro,,Hydro,1,,,
Hydro Aluminium AS (Hoyanger),HYDRO H,High Grade Primary Aluminium,Norway,,Hydro,,Hydro,1,,,
Hydro Aluminium AS (Karmoy),HYDRO K,High Grade Primary Aluminium,Norway,,Hydro,,Hydro,1,,,
Hydro Aluminium AS (Sunndalsora),HYDRO S,High Grade Primary Aluminium,Norway,,Hydro,,Hydro,1,,,
Hydro Aluminium AS,SOERAL,High Grade Primary Aluminium,Norway,,Hydro,,,1,,,
Sohar Aluminium Company LLC,SOHAR,High Grade Primary Aluminium,Oman,,,,,0,,,
Qatar Aluminium Limited (Q.S.C.),QATALUM,High Grade Primary Aluminium,Qatar,,Qatar,,,1,,,
S.C. Alro S.A.,ALRO,High Grade Primary Aluminium,Romania,,,,,0,,,
JSC Boguchany Aluminium Smelter,BOAZ,High Grade Primary Aluminium,Russia,,,,,0,,,
United Company RUSAL Kandalaksha Aluminium Smelter,KAZ SUAL,High Grade Primary Aluminium,Russia,,,,SUAL,1,,,
Nadvoitsky Aluminium Plant of Siberian-Urals Aluminium Smelter,NAZ SUAL,High Grade Primary Aluminium,Russia,,,,SUAL,1,,,
"Public Joint Stock Company ""RUSAL Bratsk Aluminium Smelter""",RUSAL B,High Grade Primary Aluminium,Russia,,,RUSAL,RUSAL,1,Russia,Metals & steel,http://www.rusal.com
Affiliate of PJSC “RUSAL Bratsk” in Shelekhov,RUSAL I,High Grade Primary Aluminium,Russia,,,RUSAL,RUSAL,1,Russia,Metals & steel,http://www.rusal.com
"Joint Stock Company ""RUSAL Krasnoyarsk Aluminium Smelter""",RUSAL K,High Grade Primary Aluminium,Russia,,,RUSAL,RUSAL,1,Russia,Metals & steel,http://www.rusal.com
"Joint Stock Company ""RUSAL Sayanogorsk Aluminium Smelter""",RUSAL KH,High Grade Primary Aluminium,Russia,,,,RUSAL,1,Russia,Metals & steel,http://www.rusal.com
"Joint Stock Company ""RUSAL Novokuznetsk Aluminium Smelter""",RUSAL N,High Grade Primary Aluminium,Russia,,,RUSAL,RUSAL,1,Russia,Metals & steel,http://www.rusal.com
"Joint Stock Company ""RUSAL Sayanogorsk Aluminium Smelter""",RUSAL S,High Grade Primary Aluminium,Russia,,,RUSAL,RUSAL,1,Russia,Metals & steel,http://www.rusal.com
United Company RUSAL Volgograd Aluminium Smelter,RUSAL VG,High Grade Primary Aluminium,Russia,,,,RUSAL,1,Russia,Metals & steel,http://www.rusal.com
Ma'aden Aluminium Company,YALMA,High Grade Primary Aluminium,Saudi Arabia,,,,,0,,,
Slovalco a.s.,SLOVALCO,High Grade Primary Aluminium,Slovakia,,,,,0,,,
Hillside Aluminium,HILLSIDE,High Grade Primary Aluminium,South Africa,,,,,0,,,
Alcoa Inespal Aviles S.L.,ALCOA INESPAL AV,High Grade Primary Aluminium,Spain,,,,,0,,,
Alcoa Corporation,ALCOA-SC,High Grade Primary Aluminium,Spain,,,,,0,,,
EGA Emirates Global Aluminium,DUBAL,High Grade Primary Aluminium,UAE,,,,,0,,,
EGA Emirates Global Aluminium,EMAL,High Grade Primary Aluminium,UAE,,,,,0,,,
Alvance British Aluminium Ltd.,LIBERTY BA,High Grade Primary Aluminium,UK,,,,Liberty Media,1,United States of America,Media & publishing: General,http://www.libertymedia.com
Alcoa Corporation,ALCOA,High Grade Primary Aluminium,USA,,,Alcoa,,1,United States of America,Metals & steel,http://www.alcoa.com
"Century Aluminum of Kentucky, G.P.",CENTURY,High Grade Primary Aluminium,USA,,,,21st Century Fox,1,United States of America,Media & publishing: General,https://www.21cf.com
Alcoa Corporation,INTALCO,High Grade Primary Aluminium,USA,,,,,0,,,
"Alcoa, Inc.",ME ALCOA,High Grade Primary Aluminium,USA,,,,ME Sportwaffen,1,,,http://www.me-sportwaffen.de
Century Aluminum of South Carolina Inc.,MT HOLLY,High Grade Primary Aluminium,USA,,,,,0,,,
Century Aluminum Sebree LLC,SEB,High Grade Primary Aluminium,USA,,,SEB,,1,Sweden,Finance & banking,http://www.seb.se
Alcoa Corporation,WAR ALCOA,High Grade Primary Aluminium,USA,,,,,0,,,
"Alcoa, Inc.",WE ALCOA,High Grade Primary Aluminium,USA,,,,,0,,,
CVG Industria Venezolana de Aluminio CA,VENALUM,High Grade Primary Aluminium,Venezuela,,,,CVG VENALUM,1,,,
Alcoa Portland Aluminium Pty Ltd,PORTLAND,Aluminium Alloy,Australia,,,,,0,,,
Tomago Aluminium Co Pty Ltd,TOMAGO,Aluminium Alloy,Australia,,,,,0,,,
Real Alloy Canada Ltd.,WABASH M,Aluminium Alloy,Canada,,,,,0,,,
Ye Chiu Metal Recycling (China) Ltd.,YECHIU TC,Aluminium Alloy,China,,,,TC Energy,1,,,
Zhangzhou Sigma Metals Inc.,ZSM,Aluminium Alloy,China,,,,,0,,,
Kuusakoski Oy,K,Aluminium Alloy,Finland,,,,,0,,,
Refinal Industries SA,REFINAL,Aluminium Alloy,France,,,,,0,,,
TRIMET Aluminium SE,MW,Aluminium Alloy,Germany,,,,,0,,,
Oetinger Aluminium NU GmbH,OE,Aluminium Alloy,Germany,,,,,0,,,
TRIMET Aluminium SE,TAG,Aluminium Alloy,Germany,,,,,0,,,
Real Alloy (Germany) GbmH,VAWICC,Aluminium Alloy,Germany,,,,,0,,,
Real Alloy (Germany) GbmH,VAW-IMCO E,Aluminium Alloy,Germany,,,,,0,,,
Real Alloy (Germany) GbmH,VAW-IMCO Innwerk,Aluminium Alloy,Germany,,,,,0,,,
P.T. H.P. Metals Indonesia,HP,Aluminium Alloy,Indonesia,,Indonesia Power,,HP,1,,,
FECS Partecipazioni S.p.A.,FECS,Aluminium Alloy,Italy,,,,,0,,,
Raffmetal S.p.A.,R.M.,Aluminium Alloy,Italy,,,,,0,,,
Sacal Societa Alluminio Carisio S.p.A.,SACAL,Aluminium Alloy,Italy,,,,,0,,,
Intals S.p.A.,VM,Aluminium Alloy,Italy,,,,,0,,,
Ahresty Corporation,AHRESTY,Aluminium Alloy,Japan,,,,,0,,,
Daiki Aluminium Industry (Malaysia) Sdn. Bhd.,DIKM,Aluminium Alloy,Malaysia,,,,,0,,,
Ye Chiu Metal Smelting Sdn. Bhd.,YE CHIU,Aluminium Alloy,Malaysia,,,,,0,,,
Real Alloy Mexico S. DE R.L. DE C.V.,WABASH V,Aluminium Alloy,Mexico,,,,,0,,,
Sun Metal Industries Ltd,SUPER,Aluminium Alloy,Nigeria,,,,,0,,,
Russian Aluminium Alloys Ltd.,BMC,Aluminium Alloy,Russia,,,,BMC,1,,,
"""Mordovvtorsiryo"" LLC",MK MBC,Aluminium Alloy,Russia,,,,,0,,,
Permtsvetmet JSC,PTM,Aluminium Alloy,Russia,,,,,0,,,
"Public Joint Stock Company ""RUSAL Bratsk Aluminium Smelter""",RUSAL B,Aluminium Alloy,Russia,,,RUSAL,RUSAL,1,Russia,Metals & steel,http://www.rusal.com
"SEAL & Co., Ltd",S,Aluminium Alloy,Russia,,,,,0,,,
"Befesa Aluminio, S.L.",ALCASA,Aluminium Alloy,Spain,,,,,0,,,
Alusigma S.A.,ALUSIGMA,Aluminium Alloy,Spain,,,,,0,,,
"Aluminio La Estrella, S.L.U.",LA ESTRELLA,Aluminium Alloy,Spain,,,,,0,,,
Refineria De Aluminio S.L,REFIAL,Aluminium Alloy,Spain,,,,,0,,,
"Befesa Aluminio, S.L.",REMETAL,Aluminium Alloy,Spain,,,,,0,,,
Stena Aluminium AB,STENA A,Aluminium Alloy,Sweden,,,,,0,,,
"Charng Chyi Aluminum Co., Ltd.",CC,Aluminium Alloy,Taiwan,,,,,0,,,
Sigma Brothers Inc.,SBI,Aluminium Alloy,Taiwan,,,,,0,,,
"Daiki Aluminium Industry (Thailand) Co., Ltd.",DIK,Aluminium Alloy,Thailand,,,,,0,,,
Mekhanicheskiy Zavod Ltd,MZ,Aluminium Alloy,Ukraine,,,,,0,,,
"""TPK Ukrsplav "" Ltd",URV,Aluminium Alloy,Ukraine,,,,,0,,,
Coleshill Aluminium Ltd,CAL,Aluminium Alloy,UK,,,,,0,,,
JBM International Ltd,JBMI,Aluminium Alloy,UK,,International,,,1,,,
Mil-Ver Metal Co Ltd,M,Aluminium Alloy,UK,,,,,0,,,
Allied Metal Co,ALLIED METAL CO,Aluminium Alloy,USA,,,,,0,,,
Audubon Metals LLC,AUDUBON,Aluminium Alloy,USA,,,,,0,,,
Bermco Aluminum,BERMCO,Aluminium Alloy,USA,,,,,0,,,
"Cass, Inc.",CASS,Aluminium Alloy,USA,,,,,0,,,
"Real Alloy Specification, LLC",IMCO M,Aluminium Alloy,USA,,,,,0,,,
"Real Alloy Specification, LLC",IMCO M2,Aluminium Alloy,USA,,,,,0,,,
"Custom Alloy Light Metals, Inc.",LMI,Aluminium Alloy,USA,,,,,0,,,
Owl's Head Alloys Inc,OHA,Aluminium Alloy,USA,,,,,0,,,
Spectro Alloys Corp.,SAC,Aluminium Alloy,USA,,,,SAC,1,,,
State Metal Industries Inc.,SMI,Aluminium Alloy,USA,,,,SMI,1,,,
TST Inc.,TIMCO,Aluminium Alloy,USA,"TST, Inc.",,,,1,United States of America,"Mining, Metals & steel",https://tst-inc.com/
"Real Alloy Specification, LLC",WABASH W,Aluminium Alloy,USA,,,,,0,,,
"Alcoa, Inc.",WE ALCOA,Aluminium Alloy,USA,,,,,0,,,
Alcoa Corporation,ABCQ,NASAAC,Canada,,,,,0,,,
Aluminerie de Becancour Inc.,ABI,NASAAC,Canada,,,,,0,,,
Alcoa Corporation,DESCHAMBAULT,NASAAC,Canada,,,,,0,,,
Real Alloy Canada Ltd.,WABASH M,NASAAC,Canada,,,,,0,,,
Ye Chiu Metal Recycling (China) Ltd.,YECHIU TC,NASAAC,China,,,,TC Energy,1,,,
Kuusakoski Oy,K,NASAAC,Finland,,,,,0,,,
TRIMET Aluminium SE,MW,NASAAC,Germany,,,,,0,,,
Oetinger Aluminium NU GmbH,OE,NASAAC,Germany,,,,,0,,,
Real Alloy (Germany) GbmH,VAWICCN,NASAAC,Germany,,,,,0,,,
Real Alloy (Germany) GbmH,VAW-IMCO E,NASAAC,Germany,,,,,0,,,
Real Alloy (Germany) GbmH,VAW-IMCO Innwerk,NASAAC,Germany,,,,,0,,,
P.T. H.P. Metals Indonesia,HP,NASAAC,Indonesia,,Indonesia Power,,HP,1,,,
FECS Partecipazioni S.p.A.,FECS,NASAAC,Italy,,,,,0,,,
Raffmetal S.p.A.,R.M.,NASAAC,Italy,,,,,0,,,
Sacal Societa Alluminio Carisio S.p.A.,SACAL,NASAAC,Italy,,,,,0,,,
Intals S.p.A.,VM,NASAAC,Italy,,,,,0,,,
Daiki Aluminium Industry (Malaysia) Sdn. Bhd.,DIKM,NASAAC,Malaysia,,,,,0,,,
Ye Chiu Metal Smelting Sdn. Bhd.,YE CHIU,NASAAC,Malaysia,,,,,0,,,
Real Alloy Mexico S. DE R.L. DE C.V.,WABASH V,NASAAC,Mexico,,,,,0,,,
Sun Metal Industries Ltd,SUPER,NASAAC,Nigeria,,,,,0,,,
"""Mordovvtorsiryo"" LLC",MK MBC,NASAAC,Russia,,,,,0,,,
Permtsvetmet JSC,PTM,NASAAC,Russia,,,,,0,,,
"Public Joint Stock Company ""RUSAL Bratsk Aluminium Smelter""",RUSAL B,NASAAC,Russia,,,RUSAL,RUSAL,1,Russia,Metals & steel,http://www.rusal.com
"SEAL & Co., Ltd",S,NASAAC,Russia,,,,,0,,,
"Befesa Aluminio, S.L.",ALCASA,NASAAC,Spain,,,,,0,,,
Alusigma S.A.,ALUSIGMA,NASAAC,Spain,,,,,0,,,
"Aluminio La Estrella, S.L.U.",LA ESTRELLA,NASAAC,Spain,,,,,0,,,
Refineria De Aluminio S.L,REFIAL,NASAAC,Spain,,,,,0,,,
"Befesa Aluminio, S.L.",REMETAL,NASAAC,Spain,,,,,0,,,
Stena Aluminium AB,STENA A,NASAAC,Sweden,,,,,0,,,
"Charng Chyi Aluminum Co., Ltd.",CC,NASAAC,Taiwan,,,,,0,,,
Sigma Brothers Inc.,SBI,NASAAC,Taiwan,,,,,0,,,
Aleris Recycling (Swansea) Ltd.,ALERIS SWA,NASAAC,UK,,,,,0,,,
Coleshill Aluminium Ltd,CAL,NASAAC,UK,,,,,0,,,
JBM International Ltd,JBMI,NASAAC,UK,,International,,,1,,,
Mil-Ver Metal Co Ltd,M,NASAAC,UK,,,,,0,,,
Imperial Aluminum LLC,A-1,NASAAC,USA,,,,,0,,,
Allied Metal Co ,ALLIED METAL CO,NASAAC,USA,,,,,0,,,
Audubon Metals LLC,AUDUBON,NASAAC,USA,,,,,0,,,
Bermco Aluminum,BERMCO,NASAAC,USA,,,,,0,,,
"Cass, Inc.",CASS,NASAAC,USA,,,,,0,,,
Huron Valley Steel Corporation,HV,NASAAC,USA,,,,,0,,,
"Real Alloy Specification, LLC",IMCO M,NASAAC,USA,,,,,0,,,
"Real Alloy Specification, LLC",IMCO M2,NASAAC,USA,,,,,0,,,
Alcoa Corporation,INTALCO,NASAAC,USA,,,,,0,,,
"Custom Alloy Light Metals, Inc.",LMI,NASAAC,USA,,,,,0,,,
Owl's Head Alloys Inc,OHA,NASAAC,USA,,,,,0,,,
Spectro Alloys Corp.,SAC,NASAAC,USA,,,,SAC,1,,,
State Metal Industries Inc.,SMI,NASAAC,USA,,,,SMI,1,,,
Superior Aluminum Alloys LLC,SUPERIOR,NASAAC,USA,,,,,0,,,
TST Inc.,TIMCO,NASAAC,USA,"TST, Inc.",,,,1,United States of America,"Mining, Metals & steel",https://tst-inc.com/
"Real Alloy Specification, LLC",WABASH W,NASAAC,USA,,,,,0,,,
"Alcoa, Inc.",WE ALCOA,NASAAC,USA,,,,,0,,,
Minara Resources Pty Ltd,MINARA COBALT BRIQUETTES,Cobalt,Australia,,PTY,,,1,,,
Votorantim Metais S.A.,TOCANTINS ALLOY GRADE 99.8%,Cobalt,Brazil,,Votorantim,,,1,Brazil,"Finance & banking, Metals & steel, Paper & cardboard, Energy",http://www.votorantim.com.br
Vale Canada Limited,VALE ELECTROLYTIC COBALT ROUNDS,Cobalt,Canada,,Vale,,,1,Brazil,"Energy, Oil, gas & coal, Metals & steel, Mining",http://www.vale.com/EN/Pages/default.aspx
"Yantai Cash Industrial Co., Ltd.",CASH,Cobalt,China,,,,Chipper Cash,1,,,
"Jinchuan Group Co., Ltd.",GOLDEN CAMEL 9995,Cobalt,China,,Jinchuan International,,,1,,,
"Quzhou Huayou Cobalt New Material Co., Ltd",HUAYOU,Cobalt,China,,,,,0,,,
GEM (Jiangsu) Cobalt Industry Co Ltd,KLK 9995,Cobalt,China,,,,,0,,,
Freeport Cobalt Oy,FC COARSE COBALT POWDER S1 d200/1000,Cobalt,Finland,,,,,0,,,
Umicore Finland Oy,UMICORE COBALT POWDER S1,Cobalt,Finland ,,,,,0,,,
"Sumitomo Metal Mining Co., Ltd.",SMM CO 99.8%,Cobalt,Japan,,"joint venture between Vale, Sumitomo Metal Mining and Mining Industry Indonesia",,,1,,,
"Dynatec Madagascar S.A. a ""société anonyme""",AMBATOVY COBALT BRIQUETTES,Cobalt,Madagascar,,,,,0,,,
CTT - Compagnie de Tifnout Tiranimine,CMBA,Cobalt,Morocco,,,,,0,,,
"JSC ""Kola GMK""",NORNICKEL,Cobalt,Russia,,,,,0,,,
Kasese Cobalt Company Limited,KCCL,Cobalt,Uganda,,,,,0,,,
Chambishi Metals Plc,CMA,Cobalt,Zambia,Chambishi Metals,,,,1,,,
Chambishi Metals Plc,CMP,Cobalt,Zambia,Chambishi Metals,,,,1,,,
